State (User order)	anchors.bed
1_mGapArtf1	0.41931
2_mGapArtf2	1.35364
3_mGapArtf3	0.91056
4_mQuies1	1.02172
5_mQuies2	1.16439
6_mQuies3	0.82384
7_mHET1	1.05496
8_mHET2	1.04514
9_mHET3	0.78289
10_mHET4	0.85019
11_mHET5	0.97450
12_mHET6	0.65096
13_mHET7	0.68363
14_mHET8	0.52683
15_mHET9	0.61930
16_mHET10	1.00852
17_mZNF1	1.02322
18_mZNF2	1.13754
19_mReprPC1	1.53294
20_mReprPC2	1.32914
21_mReprPC3	1.30184
22_mReprPC4	1.22552
23_mReprPC5	1.07526
24_mReprPC6	1.22506
25_mReprPC_openC1	1.56245
26_mReprPC_openC2	1.48154
27_mReprPC_openC3	1.62438
28_mReprPC_openC4	1.65542
29_mOpenC1	1.69121
30_mOpenC2	1.46910
31_mOpenC3	1.26347
32_mOpenC4	1.11628
33_mOpenC5	1.73618
34_mOpenC6	2.52307
35_mOpenC7	2.20596
36_mOpenC8	1.64133
37_mOpenC9	1.02841
38_mEnhA1	1.28205
39_mEnhA2	1.33379
40_mEnhA3	1.31733
41_mEnhA4	1.23129
42_mEnhA5	1.28941
43_mEnhA6	1.08262
44_mEnhA7	1.23192
45_mEnhA8	1.12495
46_mEnhA9	1.18099
47_mEnhA10	1.29282
48_mEnhA11	1.49727
49_mEnhA12	1.40494
50_mEnhA13	1.29933
51_mEnhA14	1.36281
52_mEnhA15	1.25790
53_mEnhA16	1.27094
54_mEnhA17	1.31951
55_mEnhA18	1.24263
56_mEnhWk1	1.24974
57_mEnhWk2	1.44084
58_mEnhWk3	1.32786
59_mEnhWk4	1.26420
60_mEnhWk5	1.16518
61_mEnhWk6	1.27007
62_mEnhWk7	1.20307
63_mEnhWk8	1.04168
64_mEnhWk9	1.09757
65_mEnhWk10	1.10989
66_mEnhWk11	1.13703
67_mEnhWk12	1.38757
68_mEnhWk13	1.18409
69_mTxEnh1	1.13415
70_mTxEnh2	1.20925
71_mTxEnh3	1.16576
72_mTxEnh4	1.44321
73_mTxEnh5	1.54955
74_mTxEnh6	1.37983
75_mTx1	1.39343
76_mTx2	1.41178
77_mTx3	1.50802
78_mTx4	1.54534
79_mTx5	1.47809
80_mTx6	1.36591
81_mTx7	1.38495
82_mTx8	1.42490
83_mTxEx1	1.59864
84_mTxEx2	1.70276
85_mTxEx3	1.55816
86_mTxWk1	1.15133
87_mTxWk2	1.20952
88_mBivProm1	1.68014
89_mBivProm2	1.70033
90_mBivProm3	1.66378
91_mPromF1	1.52768
92_mPromF2	1.54003
93_mPromF3	1.56717
94_mPromF4	1.42965
95_mPromF5	1.48941
96_mPromF6	1.47005
97_mPromF7	1.36745
98_mTSS1	1.60676
99_mTSS2	1.52304
100_mTSS3	1.63162
Base	26.7743004506
