filename	size
Human_22RV1_AR_No-treatment_Chinnaiyan.bed	3802
Human_A594--cells_NR3C1_DEX-1hr_Myers.bed	11083
Human_A594--cells_NR3C1_EtOH-1hr_Myers.bed	9793
Human_A594--cells_PolII_DEX-1hr_Myers.bed	26411
Human_A594--cells_PolII_EtOH-1hr_Myers.bed	30955
Human_A594--cells_PolIIser2_DEX-1hr_Myers.bed	29480
Human_A594--cells_PolIIser2_EtOH-1hr_Myers.bed	36552
Human_APL164-cells_PML_No-treatment_Stunnenberg.bed	4000
Human_APL164-cells_RXR_No-treatment_Stunnenberg.bed	6490
Human_APL74-cells_PML_No-treatment_Stunnenberg.bed	24812
Human_APL74-cells_RXR_No-treatment_Stunnenberg.bed	20192
Human_Caco-2-differentiated_CDX2_No-treatment_Shivdasani.bed	39243
Human_Caco-2-differentiated_GATA6_No-treatment_Shivdasani.bed	3334
Human_Caco-2-differentiated_HNF4A_No-treatment_Shivdasani.bed	65557
Human_Caco-2-proliferating_CDX2_No-treatment_Shivdasani.bed	22863
Human_Caco-2-proliferating_GATA6_No-treatment_Shivdasani.bed	24891
Human_Caco-2-proliferating_HNF4A_No-treatment_Shivdasani.bed	22343
Human_ECC-1_ESR1_E2-45min_Liu.bed	5080
Human_ECC-1_ESR1_EtOH-45min_Liu.bed	8848
Human_HepG2-liver-cells_CEBPa_No-treatment_Odom.bed	119109
Human_HepG2-liver-cells_CTCF_No-treatment_Odom.bed	73607
Human_HepG2-liver-cells_FoxA2_No-treatment_Wadelius.bed	9115
Human_HepG2-liver-cells_GABP_No-treatment_Wadelius.bed	24799
Human_HepG2-liver-cells_HNF4A_No-treatment_Odom.bed	56226
Human_HepG2-liver-cells_HNF4A_No-treatment_Wadelius.bed	32849
Human_HepG2-liver-cells_RAD21_No-treatment_Odom.bed	57071
Human_HepG2-liver-cells_STAG1_No-treatment_Odom.bed	83080
Human_Ishikawa_ESR1_E2-45min_Liu.bed	3814
Human_Ishikawa_ESR1_EtOH-45min_Liu.bed	6120
Human_LnCaP_AR_10nmR1881-16hr_Chinnaiyan.bed	7635
Human_LnCaP_AR_1nmR1881-16hr_Chinnaiyan.bed	4936
Human_LnCaP_AR_DHT-4hr_Brown.bed	7059
Human_LnCaP_AR_EtOH-16hr_Chinnaiyan.bed	13225
Human_LnCaP_AR_R1881-16hr_Chinnaiyan.bed	41243
Human_LnCaP_ERG_No-treatment_Chinnaiyan.bed	5016
Human_LnCaP_FoxA1_regular-medium_Chinnaiyan.bed	51551
Human_LnCaP_PolII_EtOH-16hr_Chinnaiyan.bed	20085
Human_LnCaP_PolII_R1881-16hr_Chinnaiyan.bed	14666
Human_MCF-7_CTCF_E2-45min_Hurtado.bed	64017
Human_MCF-7_CTCF_E2-45min_Odom.bed	76387
Human_MCF-7_CTCF_No-treatment_Hurtado.bed	56378
Human_MCF-7_CTCF_Tam-45min_Hurtado.bed	65523
Human_MCF-7_ESR1_17b-E2-1hr_Stunnenberg.bed	32005
Human_MCF-7_ESR1_E2-45min_Brown.bed	7218
Human_MCF-7_ESR1_E2-45min_Carroll.bed	2372
Human_MCF-7_ESR1_E2-45min_Chinnaiyan.bed	12615
Human_MCF-7_ESR1_E2-45min_Hurtado.bed	24646
Human_MCF-7_ESR1_E2-45min_Liu.bed	20474
Human_MCF-7_ESR1_E2-45min_Odom.bed	75236
Human_MCF-7_ESR1_E2-45min_Weisz.bed	5280
Human_MCF-7_ESR1_E2-45min_White.bed	6508
Human_MCF-7_ESR1_E2-6hr_Barton.bed	32791
Human_MCF-7_ESR1_E2-6hr_Jin.bed	1750
Human_MCF-7_ESR1_EtOH-45min_Liu.bed	3305
Human_MCF-7_ESR1_EtOH-6hr_Barton.bed	45356
Human_MCF-7_ESR1_Fulv_Stunnenberg.bed	7031
Human_MCF-7_ESR1_No-treatment_Odom.bed	29129
Human_MCF-7_ESR1_Tam-45min_Hurtado.bed	19161
Human_MCF-7_ESR1_Tam_Stunnenberg.bed	24900
Human_MCF-7_ESR1_full-media_Hurtado.bed	40464
Human_MCF-7_FoxA1_DMSO-45min-3hr_Liu.bed	8739
Human_MCF-7_FoxA1_E2-45min-3hr_Liu.bed	16924
Human_MCF-7_FoxA1_E2-45min_Brown.bed	16082
Human_MCF-7_FoxA1_No-treatment_Brown.bed	9849
Human_MCF-7_FoxA1_No-treatment_Brown_2.bed	13464
Human_MCF-7_FoxA1_No-treatment_White.bed	14374
Human_MCF-7_GATA3_No-treatment_White.bed	8885
Human_MCF-7_PolII_17b-E2-1hr_Stunnenberg.bed	53584
Human_MCF-7_PolII_DMSO-3hr_Liu.bed	34878
Human_MCF-7_PolII_E2-1hr_OMalley.bed	64675
Human_MCF-7_PolII_E2-3hr_Liu.bed	40165
Human_MCF-7_PolII_E2-45min_Ruan.bed	18613
Human_MCF-7_PolII_E2-6hr_Jin.bed	1490
Human_MCF-7_PolII_Fulv_Stunnenberg.bed	32919
Human_MCF-7_PolII_No-treatment_Brown.bed	11240
Human_MCF-7_PolII_No-treatment_OMalley.bed	65313
Human_MCF-7_PolII_No-treatment_Stunnenberg.bed	25797
Human_MCF-7_PolII_Tam_Stunnenberg.bed	25209
Human_MCF-7_RAD21_CTCF-knock-out_Odom.bed	51667
Human_MCF-7_RAD21_E2-45min_Odom.bed	78398
Human_MCF-7_RAD21_No-treatment_Odom.bed	87269
Human_MCF-7_RAD21_mock_Odom.bed	96884
Human_MCF-7_RARA_AM580-1hr_White.bed	14327
Human_MCF-7_RARG_CD437-1hr_White.bed	8860
Human_MCF-7_SRC-3_E2-1hr_OMalley.bed	33800
Human_MCF-7_SRC-3_No-treatment_OMalley.bed	30782
Human_MCF-7_STAG1_CTCF-knock-out_Odom.bed	77584
Human_MCF-7_STAG1_E2-45min_Odom.bed	93033
Human_MCF-7_STAG1_No-treatment_Odom.bed	91861
Human_MCF-7_STAG1_mock_Odom.bed	105167
Human_MCF-7_TRIM24_E2-6hr_Barton.bed	54432
Human_MCF-7_TRIM24_EtOH-6hr_Barton.bed	8261
Human_MCF-7_c-Fos_DMSO-45min-3hr_Liu.bed	1021
Human_MCF-7_c-Fos_E2-45min-3hr_Liu.bed	9757
Human_MCF-7_c-Jun_DMSO-45min-3hr_Liu.bed	1204
Human_MCF-7_c-Jun_E2-45min-3hr_Liu.bed	2984
Human_MCF-7_c_MYC_E2-2hr_White.bed	2202
Human_MDA-MB-231-Cells_ESR1,-DBDmut_E2-45min_Katzenellenbogen.bed	2332
Human_MDA-MB-231-Cells_ESR1_E2-45min_Katzenellenbogen.bed	11906
Human_MR4-cells_PML_ATRA-24hr_Stunnenberg.bed	14879
Human_MR4-cells_PML_No-treatment_Stunnenberg.bed	15258
Human_NB4-cells_PML_ATRA-24hr_Stunnenberg.bed	4179
Human_NB4-cells_PML_No-treatment_Stunnenberg.bed	3912
Human_NB4-cells_PolII_ATRA-24hr_Stunnenberg.bed	26728
Human_NB4-cells_PolII_ATRA-48hr_Stunnenberg.bed	22118
Human_NB4-cells_PolII_No-treatment_Stunnenberg.bed	14049
Human_NB4-cells_RARA_ATRA-24hr_Stunnenberg.bed	14342
Human_NB4-cells_RARA_No-treatment-Antibody-RAR-_A704_Stunnenberg.bed	13879
Human_NB4-cells_RXR_ATRA-24hr_Stunnenberg.bed	4498
Human_NB4-cells_RXR_No-treatment-Antibody-RXR-_sc774_Stunnenberg.bed	5248
Human_PR9-cells_RARA_ZnSO4-4hr_Zhang.bed	1393
Human_RWPE_ERG_ERG-overexpression_Chinnaiyan.bed	13239
Human_RWPE_ERG_GUS-overexpression_Chinnaiyan.bed	5201
Human_T47D_ESR1_E2-45min_Liu.bed	5437
Human_T47D_ESR1_EtOH-45min_Liu.bed	3060
Human_T47D_ESR1_full-media_Hurtado.bed	17642
Human_T47D_FoxA1_DMSO-45min-3hr_Liu.bed	53650
Human_T47D_FoxA1_E2-45min-3hr_Liu.bed	29367
Human_T47D_PGR_E2-45min_Brown.bed	5404
Human_U2OS-cells_ESR2_E2-18hr_Leitman.bed	26752
Human_U2OS-cells_ESR2_No-treatment_Leitman.bed	17418
Human_UPR9-cells_PML_No-treatment_Stunnenberg.bed	395
Human_UPR9-cells_PML_Zinc-5hr_Stunnenberg.bed	16901
Human_UPR9-cells_RARA_No-treatment_Stunnenberg.bed	1818
Human_UPR9-cells_RARA_Zinc-5hr_Stunnenberg.bed	18248
Human_UPR9-cells_RXR_No-treatment_Stunnenberg.bed	1823
Human_UPR9-cells_RXR_Zinc-5hr_Stunnenberg.bed	28640
Human_VCaP_AR_EtOH-16hr_Chinnaiyan.bed	3613
Human_VCaP_AR_No-treatment_Chinnaiyan.bed	2976
Human_VCaP_AR_R1881-16hr_Chinnaiyan.bed	10810
Human_VCaP_AR_siERG_Chinnaiyan.bed	5586
Human_VCaP_ERG+AR_regular-medium_Chinnaiyan.bed	2430
Human_VCaP_ERG_No-treatment_Chinnaiyan.bed	7362
Human_VCaP_ERG_siERG_Chinnaiyan.bed	4635
Human_VCaP_FoxA1_regular-medium_Chinnaiyan.bed	17139
Human_VCaP_Polll_EtOH-16hr_Chinnaiyan.bed	8719
Human_VCaP_Polll_R1881-16hr_Chinnaiyan.bed	8533
Human_VCaP_Polll_regular-medium_Chinnaiyan.bed	21886
Human_abl_AR_DHT-4hr_Brown.bed	5312
Human_lymphoblastoid-GM10855_VDR_No-treatment_Knight.bed	25023
Human_lymphoblastoid-GM10855_VDR_calcitriol-36hr_Knight.bed	37890
Human_lymphoblastoid-GM10861_VDR_No-treatment_Knight.bed	26097
Human_lymphoblastoid-GM10861_VDR_calcitriol-36hr_Knight.bed	48385
Human_metastatic-prostate-cancer-tissue_AR_No-treatment_Chinnaiyan.bed	7723
Human_metastatic-prostate-cancer-tissue_ERG_No-treatment_Chinnaiyan.bed	18059
Human_metastatic-prostate-cancer-tissue_PolII_No-treatment_Chinnaiyan.bed	13863
Human_normal-liver-cells_CEBPa_No-treatment_Odom.bed	64362
Human_normal-liver-cells_HNF4A_No-treatment_Odom.bed	72335
