filename	size
Human_APL164-cells_H3K27me3_ATRA-48hr_Stunnenberg.bed	39984
Human_APL164-cells_H3K27me3_No-treatment_Stunnenberg.bed	15071
Human_APL164-cells_H3K9K14ac_ATRA-48hr_Stunnenberg.bed	13337
Human_APL164-cells_H3K9K14ac_No-treatment_Stunnenberg.bed	7517
Human_CS57.LnCaP_H3K4me3_EtOH-16hr_Chinnaiyan.bed	19464
Human_CS58.LnCaP_H3K4me3_R1881-16hr_Chinnaiyan.bed	22924
Human_Caco-2-differentiated_H3K4me2_No-treatment_Shivdasani.bed	125160
Human_Caco-2-proliferating_H3K4me2_No-treatment_Shivdasani.bed	105110
Human_LnCaP_Ace_H3_regular-medium_Chinnaiyan.bed	33589
Human_LnCaP_H3K27me3_EtOH-16hr_Chinnaiyan.bed	9193
Human_LnCaP_H3K27me3_R1881-16hr_Chinnaiyan.bed	11283
Human_LnCaP_H3K36me3_regular-medium_Chinnaiyan.bed	46112
Human_LnCaP_H3K4me1_regular-medium_Chinnaiyan.bed	69585
Human_LnCaP_H3K4me2_DHT-16hr_Brown.bed	102032
Human_LnCaP_H3K4me2_DHT-4hr_Brown.bed	114149
Human_LnCaP_H3K4me2_regular-medium_Chinnaiyan.bed	62551
Human_LnCaP_H3K4me2_vehicle_Brown.bed	109826
Human_LnCaP_H3K4me3_DHT-4hr_Brown.bed	22170
Human_LnCaP_H3K4me3_EtOH-16hr_Chinnaiyan.bed	16668
Human_LnCaP_H3K4me3_R1881-16hr_Chinnaiyan.bed	16640
Human_LnCaP_H3K4me3_Vehicle_Brown.bed	22631
Human_LnCaP_H3K4me3_regular-medium_Chinnaiyan.bed	24259
Human_LnCaP_H3K9me3_EtOH-16hr_Chinnaiyan.bed	2696
Human_LnCaP_H3K9me3_R1881-16hr_Chinnaiyan.bed	4675
Human_LnCaP_H3K9me3_regular-medium_Chinnaiyan.bed	25317
Human_MCF-7_H3K14ac_DMSO-3hr_Liu.bed	44472
Human_MCF-7_H3K14ac_E2-3hr_Liu.bed	53396
Human_MCF-7_H3K27me3_DMSO-3hr_Liu.bed	31472
Human_MCF-7_H3K27me3_E2-3hr_Liu.bed	49075
Human_MCF-7_H3K4me1_DMSO-3hr_Liu.bed	127623
Human_MCF-7_H3K4me1_E2-3hr_Liu.bed	95807
Human_MCF-7_H3K4me1_No-treatment_Brown.bed	2947
Human_MCF-7_H3K4me2_E2-6hr_Barton.bed	54266
Human_MCF-7_H3K4me2_EtOH-6hr_Barton.bed	36821
Human_MCF-7_H3K4me3_DMSO-3hr_Liu.bed	41328
Human_MCF-7_H3K4me3_E2-3hr_Liu.bed	46616
Human_MCF-7_H3K4me3_E2-45min_Ruan.bed	41509
Human_MCF-7_H3K9ac_DMSO-3hr_Liu.bed	37717
Human_MCF-7_H3K9ac_E2-3hr_Liu.bed	42367
Human_MCF-7_H3K9ac_No-treatment_Brown.bed	9636
Human_MCF-7_H3K9me3_DMSO-3hr_Liu.bed	31814
Human_MCF-7_H3K9me3_E2-3hr_Liu.bed	47408
Human_MCF-7_H3R17me2_E2-45min_Brown.bed	4840
Human_MCF-7_H3R17me2_No-treatment_Brown.bed	4242
Human_MR4-cells_H3K9K14ac_ATRA-24hr_Stunnenberg.bed	65073
Human_MR4-cells_H3K9me3_No-treatment_Stunnenberg.bed	65649
Human_NB4-cells_H3K27me3_ATRA-24hr_Stunnenberg.bed	43206
Human_NB4-cells_H3K27me3_No-treatment_Stunnenberg.bed	2918
Human_NB4-cells_H3K9K14ac_ATRA-24hr_Stunnenberg.bed	46628
Human_NB4-cells_H3K9K14ac_No-treatment_Stunnenberg.bed	14486
Human_NB4-cells_H3K9me3_ATRA-24hr_Stunnenberg.bed	141588
Human_NB4-cells_H3K9me3_No-treatment_Stunnenberg.bed	107924
Human_T47D_H3K4me1_DMSO-45min-3hr_Liu.bed	44002
Human_T47D_H3K4me1_E2-45min-3hr_Liu.bed	35778
Human_UPR9-cells_H3K27me3_No-treatment_Stunnenberg.bed	15117
Human_UPR9-cells_H3K27me3_Zinc-5hr_Stunnenberg.bed	6509
Human_UPR9-cells_H3K9K14ac_No-treatment_Stunnenberg.bed	49690
Human_UPR9-cells_H3K9K14ac_Zinc-5hr_Stunnenberg.bed	52814
Human_VCaP_Ace_H3_regular-medium_Chinnaiyan.bed	41003
Human_VCaP_H3K27me3_EtOH-16hr_Chinnaiyan.bed	5702
Human_VCaP_H3K27me3_R1881-16hr_Chinnaiyan.bed	4510
Human_VCaP_H3K27me3_regular-medium_Chinnaiyan.bed	14547
Human_VCaP_H3K36me3_regular-medium_Chinnaiyan.bed	50257
Human_VCaP_H3K4me1_regular-medium_Chinnaiyan.bed	63143
Human_VCaP_H3K4me2_regular-medium_Chinnaiyan.bed	50201
Human_VCaP_H3K4me3_EtOH-16hr_Chinnaiyan.bed	22317
Human_VCaP_H3K4me3_R1881-16hr_Chinnaiyan.bed	20760
Human_VCaP_H3K4me3_regular-medium_Chinnaiyan.bed	31540
Human_VCaP_H3K9me3_EtOH-16hr_Chinnaiyan.bed	4293
Human_VCaP_H3K9me3_R1881-16hr_Chinnaiyan.bed	22317
Human_VCaP_H3K9me3_regular-medium_Chinnaiyan.bed	5404
Human_VCaP_Pan-H3_regular-medium_Chinnaiyan.bed	8924
Human_metastatic-prostate-cancer-tissue_H3K27me3_No-treatment_Chinnaiyan.bed	15510
Human_metastatic-prostate-cancer-tissue_H3K4me3_No-treatment_Chinnaiyan.bed	29141
Human_metastatic-prostate-cancer-tissue_H3K9me3_No-treatment_Chinnaiyan.bed	11237
