filename	size
BG22_STAT5_HEL_DMSO.bed	127
GSM1010893_RUNX3.bed	104018
GSM1082306_AML1_ETO_or_RUNX1T1.bed	16941
GSM1082308_HEB_TCF12.bed	18869
GSM1082309_E2A_TCF3.bed	43270
GSM1082311_LMO2.bed	7923
GSM1084800_BACH2.bed	10250
GSM1084801_BCL6.bed	8053
GSM1097879_ERG.bed	2783
GSM1097880_FLI1.bed	10750
GSM1097881_SCL.bed	528
GSM1097882_LYL1.bed	1972
GSM1097883_GATA2.bed	7046
GSM1097884_RUNX1.bed	14287
GSM1097885_LMO2.bed	1790
GSM1122302_CBFB.bed	18365
GSM1122303_CBFB.bed	12533
GSM1122304_MYH11.bed	9071
GSM1122305_MYH11.bed	6452
GSM1122306_RUNX1.bed	17308
GSM1122307_MED21.bed	10213
GSM1122308_TBP.bed	8207
GSM1122309_HEB.bed	17269
GSM1122310_GATA2.bed	6162
GSM1122311_TAL1.bed	9472
GSM1122312_FLI1.bed	4027
GSM1122313_ELF1.bed	9602
GSM1122314_ERG.bed	25083
GSM1122315_SPI1.bed	5553
GSM1122317_EP300.bed	33890
GSM1122318_HDAC1.bed	20782
GSM1122319_MYH11.bed	7941
GSM1122320_CBFB.bed	6608
GSM1122321_CBFB.bed	9623
GSM1122322_CBFB.bed	15852
GSM1122323_MYH11.bed	29434
GSM1124063_FOXA2.bed	34457
GSM1124064_FOXA2.bed	31741
GSM1124067_POU5F1.bed	10380
GSM1124068_SOX2.bed	2311
GSM1124069_SOX2.bed	5206
GSM1124070_NANOG.bed	13465
GSM1124071_NANOG.bed	18537
GSM1159670_MAFK.bed	6721
GSM1224784_POLR2A.bed	12283
GSM1224785_POLR2A.bed	4956
GSM1224786_POLR2A.bed	17457
GSM1224787_POLR2A.bed	11078
GSM1252929_ETS1.bed	41378
GSM1252930_GABPA.bed	14021
GSM1252931_RUNX1.bed	26549
GSM1252933_NOTCH1.bed	3633
GSM1252934_RBPJ.bed	4115
GSM1252936_NOTCH1.bed	10849
GSM1252937_RBPJ.bed	9754
GSM1252941_BRD4.bed	23553
GSM1252942_MED1.bed	27299
GSM1252943_P300.bed	19253
GSM1257396_NR2F2.bed	19929
GSM1278240_GATA1.bed	53723
GSM1278241_TAL1.bed	18003
GSM1278242_GFI1B.bed	3000
GSM1296385_CDK7.bed	14641
GSM1313922_CDK7.bed	3839
GSM1313923_POLR2A.bed	13717
GSM1313924_CDK9.bed	7705
GSM1442005_MYB.bed	17978
GSM1442006_MYB.bed	30659
GSM1466006_EP300.bed	581
GSM1466007_EP300.bed	839
GSM1501162_CEBPA.bed	612
GSM1501163_CEBPA.bed	7279
GSM1501164_LMO2.bed	11106
GSM1501165_LMO2.bed	13782
GSM1501166_SPI1.bed	25538
GSM1501167_SPI1.bed	21287
GSM1519635_MYB.bed	26035
GSM1519639_MYB.bed	20147
GSM1519641_MYB.bed	24032
GSM1519643_MYB.bed	21401
GSM1519646_TAL1.bed	18234
GSM467647_GATA1.bed	4065
GSM467648_GATA2.bed	8820
GSM607949_GATA1.bed	1867
GSM607950_GATA2.bed	409
GSM607951_RUNX1.bed	7868
GSM607952_FLI1.bed	3674
GSM607953_TAL1.bed	1498
GSM610330_RUNX1.bed	6857
GSM610332_RUNX1.bed	5430
GSM610334_RUNX1.bed	15982
GSM610335_GATA1.bed	7135
GSM610336_FOS.bed	11110
GSM610337_FOSB.bed	23883
GSM614003_TAL1.bed	1077
GSM614004_TAL1.bed	4799
GSM638310_11_PU1.bed	11445
GSM638312_13_IKAROS.bed	1118
GSM638314_15_16_MEIS1.bed	420
GSM651541_CTCF.bed	18624
GSM651542_CTCF.bed	25290
GSM651543_CTCF.bed	21602
GSM651544_TAL1.bed	9130
GSM651545_TAL1.bed	17834
GSM651546_GATA1.bed	10328
GSM651547_GATA1.bed	16428
GSM651552_BRG1.bed	6462
GSM651553_BRG1.bed	7687
GSM722397_SMAD1.bed	1035
GSM722398_SMAD1.bed	1293
GSM722400_TCF7L2.bed	9717
GSM722401_TCFL72.bed	3739
GSM722402_TCFL72.bed	6212
GSM722704_RUNX1.bed	10203
GSM722705_RUNX1T1.bed	5124
GSM722706_RUNX1T1.bed	3283
GSM722708_RUNX1.bed	44582
GSM722709_POLR2A.bed	10124
GSM722710_POLR2A.bed	10018
GSM749524_EP300.bed	8952
GSM785495_PU1.bed	33822
GSM785501_PU1.bed	26490
GSM785502_CEBPbeta.bed	35161
GSM785503_4_EGR2.bed	1020
GSM830986_CBX2.bed	8296
GSM830987_CBX8.bed	7114
GSM830988_CHD1.bed	6998
GSM830993_HDAC1.bed	11727
GSM830995_HDAC2.bed	5605
GSM831000_JARID1C.bed	3472
GSM831001_CREBBP.bed	2277
GSM831002_KDM1A.bed	13355
GSM831004_NCOR1.bed	624
GSM831005_WHSC1.bed	2085
GSM831006_EP300.bed	2174
GSM831008_PHF8.bed	16510
GSM831009_PHF8.bed	17229
GSM831010_KDM5B.bed	21221
GSM831011_KDM5B.bed	5601
GSM831012_RBBPS.bed	15698
GSM831015_REST.bed	5610
GSM831016_POLR2A.bed	35672
GSM831017_RNF2.bed	4105
GSM831018_SAP30.bed	10433
GSM831020_SIRT6.bed	1838
GSM831021_SUZ12.bed	2804
GSM831025_CHD1.bed	4814
GSM831028_EZH2.bed	3205
GSM831029_HDAC2.bed	8835
GSM831035_KDM4A.bed	20642
GSM831036_EP300.bed	2276
GSM831037_PHF8.bed	13630
GSM831038_RBBPS.bed	12525
GSM831040_SAP30.bed	16520
GSM831042_SUZ12.bed	2682
GSM835863_EP300.bed	5120
GSM850823_RUNX1.bed	12817
GSM850824_RUNX1.bed	17787
GSM850826_RUNX1T1.bed	1125
GSM897115_POLR2A.bed	12277
GSM897117_SMAD3.bed	947
GSM897119_SMC3.bed	4240
GSM897120_SMC1.bed	4560
GSM898060_BCL6.bed	23912
GSM898061_BCOR.bed	31772
GSM898062_NCOR2.bed	5917
GSM908054_TAL1.bed	584
GSM908055_TAL1.bed	1137
GSM908059_NFE2.bed	404
GSM908069_PolII.bed	235
GSM937544_POLR2A.bed	14514
GSM937545_POLR2A.bed	15798
GSM941543_MLLN.bed	3495
GSM941544_AF4.bed	5219
GSM959045_ZNF143.bed	4407
GSM959047_ZNF143.bed	3419
GSM959048_ZNF143.bed	2276
GSM959049_ZNF143.bed	1901
GSM959050_ZNF143.bed	4353
GSM959051_ZNF143.bed	6459
GSM959052_ZNF143.bed	7031
GSM959056_ZNF143.bed	43398
GSM970257_GATA1.bed	10094
GSM970258_GATA1.bed	71670
GSM970259_PolII.bed	35015
GSM970260_PolII.bed	25986
GSM970261_IRF2.bed	1789
GSM981236_TP53.bed	4067
GSM981237_TP53.bed	3420
