filename	size
wgEncodeAwgTfbsBroadDnd41CtcfUniPk.narrowPeak	50070
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk.narrowPeak	1732
wgEncodeAwgTfbsBroadGm12878CtcfUniPk.narrowPeak	44982
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk.narrowPeak	2472
wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk.narrowPeak	7247
wgEncodeAwgTfbsBroadH1hescCtcfUniPk.narrowPeak	66551
wgEncodeAwgTfbsBroadH1hescEzh239875UniPk.narrowPeak	6370
wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk.narrowPeak	1625
wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk.narrowPeak	16151
wgEncodeAwgTfbsBroadHelas3CtcfUniPk.narrowPeak	52783
wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk.narrowPeak	1818
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk.narrowPeak	3149
wgEncodeAwgTfbsBroadHepg2CtcfUniPk.narrowPeak	46448
wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk.narrowPeak	3286
wgEncodeAwgTfbsBroadHmecCtcfUniPk.narrowPeak	40048
wgEncodeAwgTfbsBroadHmecEzh239875UniPk.narrowPeak	4626
wgEncodeAwgTfbsBroadHsmmCtcfUniPk.narrowPeak	50924
wgEncodeAwgTfbsBroadHsmmEzh239875UniPk.narrowPeak	1540
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk.narrowPeak	47949
wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk.narrowPeak	2700
wgEncodeAwgTfbsBroadHuvecCtcfUniPk.narrowPeak	37412
wgEncodeAwgTfbsBroadHuvecEzh239875UniPk.narrowPeak	6234
wgEncodeAwgTfbsBroadHuvecPol2bUniPk.narrowPeak	5298
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak	9350
wgEncodeAwgTfbsBroadK562CtcfUniPk.narrowPeak	51992
wgEncodeAwgTfbsBroadK562Ezh239875UniPk.narrowPeak	1685
wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk.narrowPeak	11833
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk.narrowPeak	5247
wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk.narrowPeak	1114
wgEncodeAwgTfbsBroadK562P300UniPk.narrowPeak	2674
wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk.narrowPeak	22302
wgEncodeAwgTfbsBroadK562Plu1UniPk.narrowPeak	15520
wgEncodeAwgTfbsBroadK562Pol2bUniPk.narrowPeak	11424
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk.narrowPeak	14258
wgEncodeAwgTfbsBroadK562Sap3039731UniPk.narrowPeak	9753
wgEncodeAwgTfbsBroadNhaCtcfUniPk.narrowPeak	38474
wgEncodeAwgTfbsBroadNhaEzh239875UniPk.narrowPeak	6493
wgEncodeAwgTfbsBroadNhdfadCtcfUniPk.narrowPeak	48995
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk.narrowPeak	5739
wgEncodeAwgTfbsBroadNhekCtcfUniPk.narrowPeak	47113
wgEncodeAwgTfbsBroadNhekEzh239875UniPk.narrowPeak	7978
wgEncodeAwgTfbsBroadNhekPol2bUniPk.narrowPeak	5784
wgEncodeAwgTfbsBroadNhlfCtcfUniPk.narrowPeak	39537
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk.narrowPeak	7030
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk.narrowPeak	56264
wgEncodeAwgTfbsHaibA549Atf3V0422111Etoh02UniPk.narrowPeak	6580
wgEncodeAwgTfbsHaibA549Bcl3V0422111Etoh02UniPk.narrowPeak	7740
wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk.narrowPeak	15913
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk.narrowPeak	40841
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk.narrowPeak	38133
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk.narrowPeak	8611
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk.narrowPeak	5525
wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk.narrowPeak	28756
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk.narrowPeak	7695
wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk.narrowPeak	12348
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk.narrowPeak	1009
wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk.narrowPeak	23324
wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk.narrowPeak	10279
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk.narrowPeak	16720
wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk.narrowPeak	11970
wgEncodeAwgTfbsHaibA549P300V0422111Etoh02UniPk.narrowPeak	18216
wgEncodeAwgTfbsHaibA549Pol2Pcr2xDex100nmUniPk.narrowPeak	27603
wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk.narrowPeak	27685
wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk.narrowPeak	6024
wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk.narrowPeak	4909
wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk.narrowPeak	9984
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk.narrowPeak	20896
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk.narrowPeak	11980
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk.narrowPeak	11932
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk.narrowPeak	8004
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk.narrowPeak	10259
wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk.narrowPeak	7152
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk.narrowPeak	23192
wgEncodeAwgTfbsHaibEcc1EraaV0416102Bpa1hUniPk.narrowPeak	4260
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk.narrowPeak	16091
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk.narrowPeak	11452
