id	filename	cellType	cellTypeSubtype	antibody	mappingGenome	dataSource	dataSourceGSM	description
BG107_A3300007_Gata2	BG107_A3300007_Gata2.bed	Mast	[PC] Mast cell	Gata2	mm10	GSE42518	GSM1041378	Bone marrow cells were cultured in the presence of IL3 and SCF
BG108_A3300008_PU1	BG108_A3300008_PU1.bed	Mast	[PC] Mast cell	Spi1	mm10	GSE48086	GSM1167581	Bone marrow cells were cultured in the presence of IL3 and SCF
BG109_A3300009_Runx1	BG109_A3300009_Runx1.bed	Mast	[PC] Mast cell	Runx1	mm10	GSE48086	GSM1167582	Bone marrow cells were cultured in the presence of IL3 and SCF
BG110_A3300010_Scl	BG110_A3300010_Scl.bed	Mast	[PC] Mast cell	Tal1	mm10	GSE48086	GSM1167583	Bone marrow cells were cultured in the presence of IL3 and SCF
BG122_A420009_Erg	BG122_A420009_Erg.bed	Mast	[PC] Mast cell	Erg	mm10	GSE48086	GSM1167576	Bone marrow cells were cultured in the presence of IL3 and SCF
BG123_A420010_Fli1	BG123_A420010_Fli1.bed	Mast	[PC] Mast cell	Fli1	mm10	GSE48086	GSM1167577	Bone marrow cells were cultured in the presence of IL3 and SCF
BG125_A420012_Lmo2	BG125_A420012_Lmo2.bed	Mast	[PC] Mast cell	Lmo2	mm10	GSE48086	GSM1167579	Bone marrow cells were cultured in the presence of IL3 and SCF
BG126_A420013_Meis1	BG126_A420013_Meis1.bed	Mast	[PC] Mast cell	Meis1	mm10	GSE48086	GSM1167580	Bone marrow cells were cultured in the presence of IL3 and SCF
BG139_A610003_CTCF	BG139_A610003_CTCF.bed	Mast	[PC] Mast cell	Ctcf	mm10	GSE48086	GSM1167574	Bone marrow cells were cultured in the presence of IL3 and SCF
BG140_A610004_E2A	BG140_A610004_E2A.bed	Mast	[PC] Mast cell	Tcf3	mm10	GSE48086	GSM1167575	Bone marrow cells were cultured in the presence of IL3 and SCF
BG145_A730001_Mitf	BG145_A730001_Mitf.bed	Mast	[PC] Mast cell	Mitf	mm10	GSE48086	GSM1167584	Bone marrow cells were cultured in the presence of IL3 and SCF
BG147_A730003_Gfi1	BG147_A730003_Gfi1.bed	Mast	[PC] Mast cell	Gfi1	mm10	GSE42518	GSM1041379	Bone marrow cells were cultured in the presence of IL3 and SCF
