filename	size
BG107_A3300007_Gata2.bed	42203
BG108_A3300008_PU1.bed	78095
BG109_A3300009_Runx1.bed	50625
BG110_A3300010_Scl.bed	11717
BG122_A420009_Erg.bed	24249
BG123_A420010_Fli1.bed	31868
BG125_A420012_Lmo2.bed	47464
BG126_A420013_Meis1.bed	2796
BG139_A610003_CTCF.bed	54984
BG140_A610004_E2A.bed	2154
BG145_A730001_Mitf.bed	4432
BG147_A730003_Gfi1.bed	4225
BG162_B460002_cFos.bed	7079
BG26_PU1_HPC7.bed	10927
BG43_Lmo2_HPC7.bed	5202
BG61_BG61r_Runx1_HP.bed	1196
BG83_5307_3_CTCF.bed	43804
BG87_5307_8_E2A.bed	5858
BG98_5684_8_Gfi1b.bed	5123
CEBPa_GSM537984_Macrophages.bed	18518
CEBPb_GSM537985_Macrophages.bed	22679
CEBPb_GSM686970_day0_Adipocytes.bed	22195
CEBPb_GSM686971_2h_Adipocytes.bed	22003
CEBPb_GSM686972_4h_Adipocytes.bed	34404
CEBPb_GSM686973_day2_Adipocytes.bed	20123
CEBPd_GSM686974_day0_Adipocytes.bed	2355
CEBPd_GSM686975_4h_Adipocytes.bed	21042
CHD2_GSM912929_MEL.bed	5520
CTCF_GSM1023416_Rag1-_DN_Thymo.bed	26103
CTCF_GSM1023418_Rag1-_DP_Thymo.bed	33137
CTCF_GSM1023420_Rag1-_Pro_B.bed	33299
CTCF_GSM535747_Pre-Adipocyte.bed	28671
CTCF_GSM912896_MEL.bed	43401
ERX206185_87_Gata_1_Ter119_neg.bed	31876
ERX206186_89_Gata_1_Ter119_pos.bed	9509
Elf1_GSM999184_Treg_T-Cells.bed	6477
Elf1_GSM999185_TN_T-Cells.bed	11483
Eto2_ERX002124_MEL.bed	620
Eto2_ERX002126_MEL.bed	588
Ets1_GSM777093_G1ME_MK-Prog.bed	5722
Ets1_GSM999186_Treg_T-Cells.bed	3317
Ets1_GSM999187_CD4_T-Cells.bed	8098
Foxp3_GSM999179_80_82_Treg_T-Cells.bed	7583
GR_GSM686976_4h_Adipocytes.bed	6342
GSM1003593_Kdm2a.bed	9805
GSM1003594_Kdm2b.bed	10280
GSM1003596_Rnf2.bed	15529
GSM1003597_Kdm2b.bed	19918
GSM1003599_Rnf2.bed	12423
GSM1003600_Kdm2b.bed	7843
GSM1004784_85_BatF_Th0.bed	59539
GSM1004786_87_BatF_Th17.bed	70560
GSM1004789_91_BatF_Th0.bed	29187
GSM1004790_92_BatF_Th0.bed	25333
GSM1004793_BatF_Th17.bed	48188
GSM1004794_96_BatF_Th17.bed	59581
GSM1004795_97_BatF_Th17.bed	59359
GSM1004799_800_cMaf_Th17.bed	45158
GSM1004802_03_Ctcf_Th0.bed	55565
GSM1004804_05_Ctcf_Th17.bed	19865
GSM1004806_07_Etv6_Th17.bed	10114
GSM1004808_Fosl2_Th0.bed	18378
GSM1004809_10_Fosl2_Th17.bed	66297
GSM1004819_20_Hif1a_Th17.bed	13955
GSM1004821_Irf4_Th0.bed	32638
GSM1004822_Irf4_Th0.bed	11475
GSM1004823_24_Irf4_Th0.bed	26201
GSM1004825_Irf4_Th0.bed	30510
GSM1004826_Irf4_Th0.bed	25667
GSM1004827_Irf4_Th17.bed	28507
GSM1004828_Irf4_Th17.bed	28996
GSM1004829_Irf4_Th17.bed	51064
GSM1004830_Irf4_Th17.bed	33617
GSM1004831_Irf4_Th17.bed	26627
GSM1004833_35_Irf4_Th17.bed	71008
GSM1004834_36_Irf4_Th17.bed	62383
GSM1004837_Irf4_Th17.bed	36832
GSM1004838_Irf4_Th17.bed	24488
GSM1004839_Kdm6b_Th17.bed	2925
GSM1004840_Kdm6b_Th17.bed	11303
GSM1004841_42_p300_Th0.bed	5307
GSM1004843_p300_Th17.bed	20790
GSM1004844_p300_Th17.bed	10642
GSM1004845_p300_Th17.bed	27673
GSM1004846_p300_Th17.bed	16570
GSM1004847_p300_Th17.bed	18822
GSM1004848_p300_Th17.bed	14790
GSM1004849_50_p300_Th17.bed	9861
GSM1004851_p300_Th17.bed	5276
GSM1004852_p300_Th17.bed	27811
GSM1004855_56_Rorc_Th17.bed	22496
GSM1004858_Stat3_Th17.bed	279
GSM1004859_Stat3_Th17.bed	6271
GSM1004860_61_Stat3_Th17.bed	11329
GSM1004863_65_Stat3_Th17.bed	25189
GSM1004864_66_Stat3_Th17.bed	25934
GSM1014542_Ezh2.bed	5409
GSM1014546_Kdm2b.bed	17827
GSM1014548_Ring1b.bed	4290
GSM1014575_Stat5b.bed	5096
GSM1014576_Stat6.bed	2626
GSM1015512_Gata4.bed	16084
GSM1015513_Gata4.bed	2879
GSM1019771_Suz12.bed	10683
GSM1020006_Smc3.bed	32892
GSM1020007_Smc3.bed	32822
GSM1020008_Smc3.bed	15321
GSM1020009_Smc3.bed	14962
GSM1020012_Ctcf.bed	22802
GSM1020013_Ctcf.bed	26608
GSM1027476_Cebpb.bed	45237
GSM1027478_Runx2.bed	32109
GSM1027494_Cebpb.bed	59292
GSM1031977_Sfpi1.bed	86377
GSM1038263_Med1.bed	11171
GSM1040573_4_Ikzf1.bed	42736
GSM1041372_Ring1B.bed	3855
GSM1041373_Cbx7.bed	1031
GSM1041374_Suz12.bed	7637
GSM1050288_Sox2.bed	8571
GSM1050289_Sox2.bed	3734
GSM1050291_Sox2.bed	7439
GSM1050295_Sox2.bed	1549
GSM1050298_Sox2.bed	859
GSM1050301_Sox2.bed	4042
GSM1050304_Sox2.bed	2790
GSM1055553_Ldb1.bed	3991
GSM1058995_Kdm4b.bed	12228
GSM1058996_Kdm4c.bed	27997
GSM1059004_Ezh2.bed	3087
GSM1059011_Nanog.bed	21796
GSM1059012_Pou5f1.bed	17029
GSM1059013_Polr2a.bed	10908
GSM1059014_Polr2a.bed	2005
GSM1059015_Polr2a.bed	15660
GSM1059016_Spt5.bed	15511
GSM1059024_Pou5f1.bed	13758
GSM1059025_Ctr9.bed	2507
GSM1059031_Pou5f1.bed	19234
GSM1059032_Nanog.bed	16413
GSM1059034_Polr2a.bed	17662
GSM1059035_Polr2a.bed	2567
GSM1059036_Polr2a.bed	16805
GSM1059037_Spt5.bed	16722
GSM1065517_bCatenin.bed	3891
GSM1065518_bCatenin.bed	3890
GSM1082340_Pou5f1.bed	18190
GSM1082341_Sox2.bed	9938
GSM1082342_Nanog.bed	15072
GSM1082346_Cdk8.bed	16689
GSM1082347_Cdk9.bed	17029
