filename	cellType	treatment	antibody	description
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	CEBPB	ChIP C2C12 CEBPB
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep2.narrowPeak	C2C12	EqS_2.0pct_60hr	CEBPB	ChIP C2C12 CEBPB
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xPkRep1.narrowPeak	C2C12	None	CEBPB	ChIP C2C12 CEBPB
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xPkRep1.narrowPeak	C2C12	None	CTCF	ChIP C2C12 CTCF
wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	E2F4	ChIP C2C12 E2F4
wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xPkRep1.narrowPeak	C2C12	None	FOSL1_(sc-605)	ChIP C2C12 FOSL1_(sc-605)
wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	Max	ChIP C2C12 Max
wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xPkRep1.narrowPeak	C2C12	None	Max	ChIP C2C12 Max
wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	NRSF	ChIP C2C12 NRSF
wgEncodeCaltechTfbsC2c12Pol2FCntrl32bE2p60hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	Pol2	ChIP C2C12 Pol2
wgEncodeCaltechTfbsC2c12Pol2s2FCntrl32bE2p60hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	Pol2(phosphoS2)	ChIP C2C12 Pol2(phosphoS2)
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p24hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_24hr	Myogenin_(sc-12732)	ChIP C2C12 Myogenin_(sc-12732)
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p60hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	Myogenin_(sc-12732)	ChIP C2C12 Myogenin_(sc-12732)
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bPcr2xPkRep1.narrowPeak	C2C12	None	Myogenin_(sc-12732)	ChIP C2C12 Myogenin_(sc-12732)
wgEncodeCaltechTfbsC2c12Sc12732FCntrl50bE2p7dPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_7d	Myogenin_(sc-12732)	ChIP C2C12 Myogenin_(sc-12732)
wgEncodeCaltechTfbsC2c12Sc32758FCntrl32bE2p24hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_24hr	MyoD_(sc-32758)	ChIP C2C12 MyoD_(sc-32758)
wgEncodeCaltechTfbsC2c12Sc32758FCntrl32bE2p60hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	MyoD_(sc-32758)	ChIP C2C12 MyoD_(sc-32758)
wgEncodeCaltechTfbsC2c12Sc32758FCntrl32bPcr2xPkRep1.narrowPeak	C2C12	None	MyoD_(sc-32758)	ChIP C2C12 MyoD_(sc-32758)
wgEncodeCaltechTfbsC2c12Sc32758FCntrl50bE2p7dPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_7d	MyoD_(sc-32758)	ChIP C2C12 MyoD_(sc-32758)
wgEncodeCaltechTfbsC2c12SrfFCntrl32bE2p24hPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_24hr	SRF	ChIP C2C12 SRF
wgEncodeCaltechTfbsC2c12Tcf12FCntrl50bE2p60hPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	TCF12	ChIP C2C12 TCF12
wgEncodeCaltechTfbsC2c12Tcf3FCntrl32bE2p5dPcr2xPkRep1.narrowPeak	C2C12	EqS_2.0pct_5d	TCF3_(SC-349)	ChIP C2C12 TCF3_(SC-349)
wgEncodeCaltechTfbsC2c12Usf1FCntrl50bE2p60hPcr1xPkRep1.narrowPeak	C2C12	EqS_2.0pct_60hr	USF-1	ChIP C2C12 USF-1
wgEncodeCaltechTfbsC2c12Usf1FCntrl50bPcr1xPkRep1.narrowPeak	C2C12	None	USF-1	ChIP C2C12 USF-1
wgEncodeLicrTfbsBmarrowCtcfMAdult8wksC57bl6StdPk.broadPeak	BoneMarrow	NA	CTCF	ChIP BoneMarrow CTCF
wgEncodeLicrTfbsBmarrowPol2MAdult8wksC57bl6StdPk.broadPeak	BoneMarrow	NA	Pol2	ChIP BoneMarrow Pol2
wgEncodeLicrTfbsBmdmCtcfFAdult8wksC57bl6StdPk.broadPeak	BMDM	NA	CTCF	ChIP BMDM CTCF
wgEncodeLicrTfbsBmdmPol2FAdult8wksC57bl6StdPk.broadPeak	BMDM	NA	Pol2	ChIP BMDM Pol2
wgEncodeLicrTfbsCbellumCtcfMAdult8wksC57bl6StdPk.broadPeak	Cerebellum	NA	CTCF	ChIP Cerebellum CTCF
wgEncodeLicrTfbsCbellumPol2MAdult8wksC57bl6StdPk.broadPeak	Cerebellum	NA	Pol2	ChIP Cerebellum Pol2
wgEncodeLicrTfbsCortexCtcfMAdult8wksC57bl6StdPk.broadPeak	Cortex	NA	CTCF	ChIP Cortex CTCF
wgEncodeLicrTfbsCortexPol2MAdult8wksC57bl6StdPk.broadPeak	Cortex	NA	Pol2	ChIP Cortex Pol2
wgEncodeLicrTfbsEsb4CtcfME0C57bl6StdPk.broadPeak	ES-Bruce4	NA	CTCF	ChIP ES-Bruce4 CTCF
wgEncodeLicrTfbsEsb4P300ME0C57bl6StdPk.broadPeak	ES-Bruce4	NA	p300	ChIP ES-Bruce4 p300
wgEncodeLicrTfbsEsb4Pol2ME0C57bl6StdPk.broadPeak	ES-Bruce4	NA	Pol2	ChIP ES-Bruce4 Pol2
wgEncodeLicrTfbsHeartCtcfMAdult8wksC57bl6StdPk.broadPeak	Heart	NA	CTCF	ChIP Heart CTCF
wgEncodeLicrTfbsHeartP300MAdult8wksC57bl6StdPk.broadPeak	Heart	NA	p300	ChIP Heart p300
wgEncodeLicrTfbsHeartPol2MAdult8wksC57bl6StdPk.broadPeak	Heart	NA	Pol2	ChIP Heart Pol2
wgEncodeLicrTfbsKidneyCtcfMAdult8wksC57bl6StdPk.broadPeak	Kidney	NA	CTCF	ChIP Kidney CTCF
wgEncodeLicrTfbsKidneyPol2MAdult8wksC57bl6StdPk.broadPeak	Kidney	NA	Pol2	ChIP Kidney Pol2
wgEncodeLicrTfbsLimbCtcfUE14halfC57bl6StdPk.broadPeak	Limb	NA	CTCF	ChIP Limb CTCF
wgEncodeLicrTfbsLimbPol2UE14halfC57bl6StdPk.broadPeak	Limb	NA	Pol2	ChIP Limb Pol2
wgEncodeLicrTfbsLiverCtcfMAdult8wksC57bl6StdPk.broadPeak	Liver	NA	CTCF	ChIP Liver CTCF
wgEncodeLicrTfbsLiverPol2MAdult8wksC57bl6StdPk.broadPeak	Liver	NA	Pol2	ChIP Liver Pol2
wgEncodeLicrTfbsLungCtcfMAdult8wksC57bl6StdPk.broadPeak	Lung	NA	CTCF	ChIP Lung CTCF
wgEncodeLicrTfbsLungPol2MAdult8wksC57bl6StdPk.broadPeak	Lung	NA	Pol2	ChIP Lung Pol2
wgEncodeLicrTfbsMefCtcfMAdult8wksC57bl6StdPk.broadPeak	MEF	NA	CTCF	ChIP MEF CTCF
wgEncodeLicrTfbsMefPol2MAdult8wksC57bl6StdPk.broadPeak	MEF	NA	Pol2	ChIP MEF Pol2
wgEncodeLicrTfbsMelCtcfMImmortalC57bl6StdPk.broadPeak	MEL	NA	CTCF	ChIP MEL CTCF
wgEncodeLicrTfbsMelPol2MImmortalC57bl6StdPk.broadPeak	MEL	NA	Pol2	ChIP MEL Pol2
wgEncodeLicrTfbsOlfactCtcfMAdult8wksC57bl6StdPk.broadPeak	OlfactBulb	NA	CTCF	ChIP OlfactBulb CTCF
wgEncodeLicrTfbsOlfactPol2MAdult8wksC57bl6StdPk.broadPeak	OlfactBulb	NA	Pol2	ChIP OlfactBulb Pol2
wgEncodeLicrTfbsSmintCtcfMAdult8wksC57bl6StdPk.broadPeak	SmIntestine	NA	CTCF	ChIP SmIntestine CTCF
wgEncodeLicrTfbsSmintPol2MAdult8wksC57bl6StdPk.broadPeak	SmIntestine	NA	Pol2	ChIP SmIntestine Pol2
wgEncodeLicrTfbsSpleenCtcfMAdult8wksC57bl6StdPk.broadPeak	Spleen	NA	CTCF	ChIP Spleen CTCF
wgEncodeLicrTfbsSpleenPol2MAdult8wksC57bl6StdPk.broadPeak	Spleen	NA	Pol2	ChIP Spleen Pol2
wgEncodeLicrTfbsTestisCtcfMAdult8wksC57bl6StdPk.broadPeak	Testis	NA	CTCF	ChIP Testis CTCF
