filename	size
GSM832319_Runx1.bed	1058
CTCF_GSM1023418_Rag1-_DP_Thymo.bed	18153
RXR_GSM686978_4h_Adipocytes.bed	829
GSM1215218_Ezh2.bed	2641
GSM644976_Rad21.bed	4189
GSM1059024_Pou5f1.bed	8598
PU.1_GSM1022280_stat1ko_ctrl_UT_BMDM.bed	31231
GSM552240_Sfpi1.bed	11734
Ets1_GSM777093_G1ME_MK-Prog.bed	4473
GSM1050301_Sox2.bed	2802
GSM881069_DC_Hif1a_120.bed	85
GSM883647_Ctcf.bed	17977
BG87_5307_8_E2A.bed	3845
GSM288350_Tcfcp2l1.bed	4542
GSM881064_DC_Ets2_0.bed	267
GSM515675_POL2_shcMyc.bed	10246
GSM881060_DC_E2f4_0.bed	368
GSM288347_Sox2.bed	716
GSM972967_Prep.bed	1658
GSM1409207_Cebpa.bed	6371
MafK_GSM912899_MEL.bed	4127
GSM978758_Batf.bed	610
GSM937540_Brd4.bed	11701
GSM978768_Irf4.bed	14875
GSM552238_Lyl1.bed	2198
GSM881052_DC_Ctcf_0.bed	13528
GSM859512_Notch1.bed	4427
GSM905450_Pol2ra.bed	5035
GSM838691_Stat1.bed	16881
GSM881056_DC_E2f1_0.bed	435
BG162_B460002_cFos.bed	4507
GSM978772_Stat3.bed	8742
GSM1004794_96_BatF_Th17.bed	36366
BG145_A730001_Mitf.bed	2783
GSM1004841_42_p300_Th0.bed	3638
GSM937538_Polr2a.bed	16249
GSM1059015_Polr2a.bed	11513
GSM923570_Ctcf.bed	6795
GSM881063_DC_E2f4_60.bed	540
GSM1214531_Runx3.bed	8440
PU.1_GSM1022262_stat6ko_UT_BMDM.bed	38019
CHD2_GSM912929_MEL.bed	3668
GSM1014548_Ring1b.bed	3639
GSM558905_Mef2a.bed	1957
GSM1004806_07_Etv6_Th17.bed	7724
GSM417015_Gata1.bed	722
GSM881140_DC_Egr1_120.bed	91
GSM1169019_Suz12.bed	6508
GSM1234370_Stat5b.bed	658
GSM842248_GSM842251_Meis1.bed	757
GSM881112_DC_Rela_120.bed	8349
GSM832317_Ring1b.bed	3457
GSM876624_25_Ebf1.bed	1482
GSM699164_p300.bed	213
BG109_A3300009_Runx1.bed	32732
GSM1004799_800_cMaf_Th17.bed	29131
GSM1004858_Stat3_Th17.bed	190
GSM1055553_Ldb1.bed	3158
GSM1289237_Irf8.bed	7779
GSM641911_Gata2.bed	1672
GSM898201_Cbx8.bed	4322
GSM1103355_Runx1.bed	3995
Scl_ERX002136_MEL.bed	2975
Rad21_GSM912933_DMSO_MEL.bed	16489
GSM1151145_Ctcf.bed	19547
GSM994524_ep300_th2_controlV.bed	28567
GSM632058_Nfya.bed	418
GSM774291_Pu1.bed	17196
GSM523230_Gata3.bed	1223
GSM1020013_Ctcf.bed	15594
GSM1150333_Foxa2.bed	21127
GSM1169007_Jarid2.bed	5030
GSM923586_Gata1.bed	1424
GSM288348_Smad1.bed	223
GSM881113_DC_Rela_30.bed	1959
ERX206185_87_Gata_1_Ter119_neg.bed	18600
GSM1014546_Kdm2b.bed	14807
GSM1050289_Sox2.bed	3038
GSM1214539_40_Runx3.bed	5294
Max_GSM912919_MEL.bed	10704
GSM1183977_Rela.bed	242
GSM288356_Myc.bed	2784
GSM1004793_BatF_Th17.bed	29530
GSM1038263_Med1.bed	7762
GSM838685_Stat1_6h_IFNb.bed	17832
GSM1314672_Polr2a.bed	2154
GSM905445_Ezh2.bed	2750
GSM515668_POL2_shrna_NelfA.bed	8664
PU.1_GSM1022261_stat6ko_ctrl_IL4_4h_BMDM.bed	34797
GSM1004802_03_Ctcf_Th0.bed	30623
GSM651192_Dpy30.bed	416
GSM881119_DC_Stat3_120.bed	400
