filename	size
wgEncodePsuTfbsG1eTal1ME0S129InputRepPeaksRep1.broadPeak	3041
wgEncodeLicrTfbsBmarrowPol2MAdult8wksC57bl6StdPk.broadPeak	6025
wgEncodeSydhTfbsCh12Hcfc1nb10068209IggrabPk.narrowPeak	8349
wgEncodePsuTfbsMelTal1UImmortalC57bl6InputPk.broadPeak	7015
wgEncodePsuTfbsMegakaryoFli1sc356BE14halfCd1InputPk.broadPeak	2656
wgEncodeLicrTfbsLimbCtcfUE14halfC57bl6StdPk.broadPeak	15021
wgEncodeSydhTfbsCh12Znfmizdcp1ab65767IggrabPk.narrowPeak	6803
wgEncodePsuTfbsG1eer4e2Pol24h8ME0S129InputRepPeaksRep2.broadPeak	1585
wgEncodePsuTfbsG1eer4e2Pol24h8ME0S129InputRepPeaksRep3.broadPeak	854
wgEncodeLicrTfbsOlfactPol2MAdult8wksC57bl6StdPk.broadPeak	11520
wgEncodeLicrTfbsCortexCtcfMAdult8wksC57bl6StdPk.broadPeak	15552
wgEncodeSydhTfbsMelGata1Dm2p5dStdPk.narrowPeak	13769
wgEncodePsuTfbsG1eer4Gata1aME0S129InputDiffd3hPkRep1.broadPeak	10815
wgEncodePsuTfbsG1eGata1aME0S129InputRepPeaksRep1.broadPeak	72
wgEncodePsuTfbsMelCtcfMImmortalC57bl6InputRepPeaksRep2.broadPeak	14692
wgEncodePsuTfbsG1eer4e2CtcfME0S129InputRepPeaksRep2.broadPeak	14846
wgEncodePsuTfbsG1ePol24h8ME0S129InputRepPeaksRep1.broadPeak	35721
wgEncodePsuTfbsG1eer4e2Gata2sc9008ME0S129InputRepPeaksRep2.broadPeak	1574
wgEncodePsuTfbsG1eCtcfME0S129InputRepPeaksRep1.broadPeak	8317
wgEncodePsuTfbsG1eGata1aME0S129InputRepPeaksRep2.broadPeak	53
wgEncodeSydhTfbsCh12Pol2IggmusPk.narrowPeak	16843
wgEncodeSydhTfbsMelTbpIggmusPk.narrowPeak	12019
