chrom	start	end	mid
chr1	110000	3000000	1555000
chr10	110000	3000000	1555000
chr11	110000	3000000	1555000
chr12	110000	3000000	1555000
chr13	110000	3000000	1555000
chr14	110000	3000000	1555000
chr15	110000	3000000	1555000
chr16	110000	3000000	1555000
chr17	110000	3000000	1555000
chr18	110000	3000000	1555000
chr19	110000	3000000	1555000
chr2	110000	3000000	1555000
chr3	110000	3000000	1555000
chr4	110000	3000000	1555000
chr5	110000	3000000	1555000
chr6	110000	3000000	1555000
chr7	110000	3000000	1555000
chr8	110000	3000000	1555000
chr9	110000	3000000	1555000
chrX	110000	3000000	1555000
